Line,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
Line,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Personal consumption expenditures (PCE)  ,-0.2,-0.8,10.8,25.4,15.6,10.5,8.7,8.5,7.3,7.7,8.2,7.4,6.1,7.1,3.2,3.0,3.0,2.2,2.5,2.3,2.3,1.8,1.3,1.6,2.9,2.7,2.2,2.0,2.1,2.4,2.8,2.3,2.3,2.4,3.1,3.6,1.9,2.4,2.7,2.6,3.1,3.1,3.0,3.0,3.4,3.3,3.2,3.6,3.3,2.7,3.2,3.1,2.5,2.5,2.6,2.8,2.4,2.5,2.2,1.6
