Scenario,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Current Policies,0.8432409182612556,0.8265725264095835,0.7966885016376446,0.7600031086104009,0.7219820963621519,0.6855294928302557,0.6605292623457355,0.6399981629299596,0.6154139700836824,0.600254559095464,0.5850951481072455,0.5669604265954236,0.5488257050836016,0.5317498124330724,0.5146739197825431,0.4990241235878794,0.4833743273932157
Delayed transition,0.8432409182612556,0.8265725264095835,0.7966885016376446,0.7275017459140543,0.5387681469789907,0.3886731586608318,0.3161980157274956,0.2722219596668302,0.23914072764166647,0.21990738921799888,0.2006740507943313,0.18319890200054295,0.1657237532067546,0.1523372162565027,0.13895067930625085,0.12893854641302918,0.1189264135198075
Fragmented World,0.8432409182612556,0.8265725264095835,0.7966885016376446,0.7336114413917973,0.6049094092422284,0.5101678556860055,0.4569133476611694,0.4198906079363257,0.38586943097375864,0.3678635073412593,0.34985758370875986,0.3324813917521938,0.31510519979562784,0.30124179121920736,0.2873783826427868,0.2762086933858506,0.26503900412891435
Net Zero 2050,0.8432409182612556,0.8063771749101539,0.6388573308403523,0.4622084056136683,0.3221940653998828,0.24599336546033057,0.20614361167866926,0.18873898822907695,0.1733850372776888,0.16515385600599175,0.15692267473429472,0.1479934675948416,0.13906426045538847,0.13219353418090732,0.12532280790642616,0.11865987230298611,0.11199693669954607
