,Model,Scenario,Region,Variable,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
5240,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Central bank Intervention rate (policy interest rate) ; %(combined(no bus)),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1250940561294556,-0.0285912752151489,-0.0599691867828369,-0.0343540906906127,-0.0012147426605224,0.028095006942749,0.0632236003875732,0.1132053136825562,0.1761047840118408,0.2480548620223999,0.2800846099853516,0.3072947263717651,0.3429551124572754,0.3836619853973389,0.4263845682144165,0.4222456216812134,0.4137628078460693,0.4107323884963989,0.4076579809188843,0.4047833681106567
5241,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Central bank Intervention rate (policy interest rate) ; %(combined),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0785783529281616,-0.6084859371185303,-0.6416328549385071,-0.2668582797050476,-0.1078592538833618,-0.0424121618270874,0.0265777111053466,0.1144992113113403,0.2054811716079712,0.2907388210296631,0.3254469633102417,0.3512709140777588,0.3849053382873535,0.4234335422515869,0.4633915424346924,0.4555085897445679,0.4424425363540649,0.4341479539871216,0.4254966974258423,0.4168744087219238
5242,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Central bank Intervention rate (policy interest rate) ; %(physical),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5243,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Central bank Intervention rate (policy interest rate) ; %(transition),Abs. difference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1250940561294556,-0.0285912752151489,-0.0599691867828369,-0.0343540906906127,-0.0012147426605224,0.028095006942749,0.0632236003875732,0.1132053136825562,0.1761047840118408,0.2480548620223999,0.2800846099853516,0.3072947263717651,0.3429551124572754,0.3836619853973389,0.4263845682144165,0.4222456216812134,0.4137628078460693,0.4107323884963989,0.4076579809188843,0.4047833681106567
5256,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Equity prices(combined(no bus)),"% difference,  index; 2017=100",0.0,-0.772806888297839,-2.453524736981216,-4.405982968004885,-6.508470286514179,-7.873450663543968,-8.448221581546733,-8.880191895322776,-9.411489565785969,-11.30681137182805,-12.26899430340761,-13.32089011254196,-14.35168257304867,-15.32802416754297,-16.32009186659322,-17.36113111153554,-18.42273485702961,-19.54904804724197,-20.73861975086438,-22.01681827973796,-23.46193758881621,-24.99960097466105,-26.59911494390543,-28.31372250589216,-30.1693831960095,-32.16862671169605,-34.25492555966571,-36.31713955103228,-38.22952905676915
5257,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Equity prices(combined),"% difference,  index; 2017=100",0.0,-0.772806888297839,-2.453524736981216,-4.405982968004885,-6.508470286514179,-7.873450663543968,-8.448221581546733,-8.880191895322776,-9.411489565785969,-10.74512175469371,-12.07212521242473,-13.65463983113144,-15.11357617799933,-16.3325974042376,-17.29174956403129,-18.13602617891287,-18.99690404737057,-19.90714292891385,-20.89748367571615,-22.0109058231426,-23.33774604089059,-24.81036463090735,-26.39485894949807,-28.13270613207636,-30.03458503406888,-32.08801347332367,-34.22452713711728,-36.32553354093551,-38.26305221610757
5258,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Equity prices(physical),"% difference,  index; 2017=100",0.0,-0.772806888297839,-2.453524736981216,-4.405982968004885,-6.508471811554328,-7.873450663543968,-8.448221581546733,-8.880191895322776,-9.411490967542637,-10.11576411070483,-10.97455728424477,-11.95815023948071,-13.00277025109605,-14.10504929762199,-15.33062571057601,-16.63719230624141,-17.93597694605923,-19.23417342021875,-20.51679365402024,-21.82800969580832,-23.24996211737584,-24.72508810282817,-26.24681745509515,-27.89146108946031,-29.71049807582891,-31.71176098705383,-33.84750895829459,-36.00370823015311,-38.04451554342458
5259,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Equity prices(transition),"% difference,  index; 2017=100",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.320415366963368,-1.436820548880657,-1.519824501159917,-1.517033847015559,-1.396518369034538,-1.160245292689099,-0.8752882477693236,-0.6002304842899431,-0.3728467614776299,-0.2096894992438481,-0.0950624627327423,-0.0336462876872056,-0.0156649791948959,-0.0218971142544877,-0.030849017750445,-0.0187070907260666,0.0125950421740572,0.073507889823543,0.1626425643173945,0.2715864031325399
5272,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Gross Domestic Product (GDP)(combined(no bus)),"% difference,  2017 PPP ; US$ Bn",0.0,-1.737459131026009,-2.337842328571138,-2.843210927338102,-3.269669850069667,-3.658191846089109,-4.039786107901189,-4.436256158871754,-4.88359804320031,-5.318790850852995,-5.738824127018427,-6.137454339370485,-6.588000120259419,-7.091278342240792,-7.654936068504703,-8.13527034303636,-8.595881336609724,-9.032202035057002,-9.43051609652258,-9.814871150228054,-10.19083142717275,-10.53105434921827,-10.90991743884964,-11.33245416484509,-11.76815948774509,-12.1655370832182,-12.5080807699628,-12.78696465987746,-12.99014887481037
5273,NiGEM NGFS v1.24.2[GCAM 6.0 NGFS],Fragmented World,NiGEM NGFS v1.24.2|China,Gross Domestic Product (GDP)(combined),"% difference,  2017 PPP ; US$ Bn",0.0,-1.737459131026009,-2.337842328571138,-2.843210927338102,-3.269669850069667,-3.658191846089109,-4.039786107901189,-4.436256158871754,-4.88359804320031,-5.46241169793994,-6.07225237327067,-6.386260002561828,-6.65319995321807,-7.090959779502537,-7.620416001708897,-8.077354429455053,-8.52535991340826,-8.960928629092713,-9.3691208861025,-9.770762173614022,-10.16754867987718,-10.52867562057281,-10.925703850155,-11.36168545020029,-11.80527910075416,-12.20503795031041,-12.54572676408251,-12.81990564451218,-13.01689104286169
