,pr,er,CPI,ltir
2026,0.7707547343929858,0.9556416419192525,4.724425442347036,1.0950121334478753
2027,1.9166614249387774,0.9348162585674096,4.763386566379358,2.0136478622116996
2028,2.5417352871070285,0.9291536244920108,4.190439477847525,2.4900375286295113
2029,2.8852376006557936,0.9291040814153295,3.5719066366447776,2.7349312295542454
2030,3.0700619783370477,0.9302804790970592,3.118285592752735,2.8636793586085996
2031,3.167942335741703,0.9311042353623233,2.8227307429494535,2.9277190190209685
2032,3.223658893344523,0.9321067405381497,2.632107352831599,2.9600585349736286
2033,3.2462345261305527,0.9328073002826622,2.530527273004789,2.9769998471208563
2034,3.263535960303323,0.9328574841846836,2.4807989808637876,2.9865412394227766
2035,3.2745894821820505,0.9330980730761549,2.455482625820667,2.9915620371523337
2036,3.2788431999796965,0.9332190226317749,2.4402112304614674,2.993157395421183
2037,3.277956713952683,0.933422302374721,2.4352671299027637,2.9945580355072425
2038,3.2761956594983306,0.9336373383189379,2.432995109035587,2.99497668590612
2039,3.2791702736111628,0.9334576981006306,2.4307179617771872,2.994756063372674
2040,3.2800890153990054,0.9335487797879408,2.4277177983613694,2.99541971059418
2041,3.2763334663983223,0.9335748796815903,2.423471481289655,2.9951510811157767
2042,3.2771849477266524,0.9335760446469787,2.42099462468911,2.995598639714067
2043,3.278694391014149,0.9335663528743237,2.4188834890320527,2.9954214746047816
2044,3.278581921582854,0.933642947759134,2.418453896495923,2.9959206248691896
2045,3.2792523940712432,0.9335774432728433,2.42120562301364,2.9950949044952964
2046,3.278546840654406,0.933533289915235,2.4315834485783965,2.9954077912812407
2047,3.278611622715126,0.9336019304150168,2.444306788261411,2.99505391222917
2048,3.2830659299774867,0.9335145293147767,2.4577974622568677,2.994929169673618
2049,3.279560494298707,0.933599227107675,2.462069478800103,2.995119008325976
2050,3.279748242970032,0.9335443743409815,2.4613240445741136,2.995463629157106
