,pr,epi,rGDP,CPI,ltir
2026,2.771100022168151,136.4409066995461,21773.06052491047,3.856504286235565,3.091057971309845
2027,3.376357739346486,147.80837760892166,22135.758585719996,4.1865102204212405,3.455069440466331
2028,3.630714557865252,151.78324576890316,22227.77278450961,3.939296814700686,3.6144503245491157
2029,3.8010179335141596,153.818558090487,22248.36151215121,3.7611691525340176,3.7226165254050945
2030,3.893633951145485,154.59176820045926,22210.92046097684,3.659778966983922,3.776290446218774
2031,3.999047430431202,143.68693863472197,21964.132343035675,3.8796605145501686,4.197122767173273
2032,3.42993457079741,142.88733921621332,21666.42975421114,3.6132744191337247,4.292365869701675
2033,3.6109283670788854,140.8939785984268,21581.677609545153,3.7936471064919934,4.412151696962974
2034,4.311721547266648,139.00850440433018,21545.17580658944,4.360643432217423,4.485207926363467
2035,4.818780819201274,137.94219092781034,21437.308707749977,4.618439466897391,4.490771247489056
2036,4.799662463069766,138.8174872379393,21315.38729965886,4.318124280480507,4.458891207552051
2037,4.684460317494503,140.60676753052144,21199.45595173399,3.9491021236296975,4.4293280393912955
2038,4.652720956959679,142.56669746338605,21103.203620639815,3.7837740030771645,4.4146424720304065
2039,4.653949700782772,144.7956525303146,21028.95878077291,3.7346909645884296,4.392841020658798
2040,4.664543200007264,146.8508422154125,20975.50634068136,3.719844352813739,4.357698541700897
2041,4.618388489566849,148.9542017680983,20937.904469878962,3.6243366767079004,4.31847030945992
2042,4.57665154238338,151.23012337061797,20923.28023263992,3.5153297818405966,4.291524559604817
2043,4.545824623427091,153.44829697713828,20917.95212098362,3.454231370207807,4.270207984481558
2044,4.512752751021868,155.20248559089015,20903.444206293098,3.40165897766722,4.250191824370636
2045,4.495100024851314,156.8306403306706,20892.838580490057,3.3685690567983446,4.24436348627647
2046,4.476228170873593,158.0609439187465,20880.076432585152,3.386302317883773,4.23013229546469
2047,4.441095995633525,158.72506809099397,20858.96184730083,3.42238394070711,4.2081737240522665
2048,4.433359598895574,159.29538780015048,20861.762325417603,3.377507628105505,4.206187559949036
2049,4.4023212153636555,159.97012950920677,20879.421635712184,3.331459253598398,4.201504561666593
2050,4.358588036580574,160.4725455333477,20905.389323784217,3.298464045488587,4.193195941058927
