,Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
198071,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Coal|Electricity|w/o CCS,EJ/yr,48.3857574,47.9859344,44.619909,36.90174749999999,17.17198470000001,0.2433864,0.0009073,0.0002607,7.25e-05,,1.26e-05,,0.0,,0.0,,0.0
198072,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Coal|Gases,EJ/yr,0.2341832,0.0017131,0.0013885,0.0010062,0.0005513,0.0001517,4.7e-06,4.7e-06,4.7e-06,,4.7e-06,,0.0,,0.0,,0.0
198073,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Coal|Heat,EJ/yr,4.766835499999999,4.4576349,3.4342309,2.4582608,1.3660143,0.5526044000000001,0.1816905,0.0001327,2.77e-05,,4.299999999999999e-06,,0.0,,0.0,,0.0
198074,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Coal|Hydrogen,EJ/yr,1.04e-05,1.24e-05,1.21e-05,1.25e-05,1.27e-05,1.34e-05,1.46e-05,1.1e-05,8.599999999999999e-06,,8.599999999999999e-06,,4.1e-06,,3.5e-06,,2.1e-06
198075,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Coal|Liquids,EJ/yr,0.0,6.7e-06,1.34e-05,1.67e-05,1.41e-05,1.34e-05,1.34e-05,1.34e-05,1.34e-05,,1.34e-05,,6.2e-06,,5e-06,,2.9e-06
198076,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Coal|Solids,EJ/yr,38.08756699999999,36.44760429999999,34.2412904,30.11307010000001,12.6598032,4.015555699999999,1.4981858,0.5020358,0.3889803000000001,,0.3474687,,0.206237,,0.1853605,,0.1285233
198077,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Coal|w/ CCS,EJ/yr,0.002763,0.0132518,0.0132419,0.013191,0.0130343,0.0126766,0.0119905,0.0108172,0.0089655999999999,,0.0026514,,1.06e-05,,8.7e-06,,5.099999999999999e-06
198078,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Coal|w/o CCS,EJ/yr,91.4743536,88.8928945,82.2968329,69.474102,31.1983685,4.8117134,1.680805,0.5024470999999999,0.389096,,0.3475009999999999,,0.206237,,0.1853605,,0.1285233
198079,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Fossil,EJ/yr,137.4946865,140.1547714,134.8728008,118.2409173,72.922089,38.6026943,27.1370376,20.3534483,16.6773439,,14.4804537,,11.8075203,,9.6590024,,8.0453529
198080,REMIND-MAgPIE 3.3-4.8,Delayed transition,REMIND-MAgPIE 3.3-4.8|China,Primary Energy|Fossil|w/ CCS,EJ/yr,0.002763,0.0205827,0.0205692,0.0204948,0.0202248,0.019588,0.0183427,0.0161863,0.0127534,,0.0026588,,1.37e-05,,1.12e-05,,6.5e-06
