,pr,er,CPI,ltir
2026,1.4659322298725694,0.9247598560011462,4.9571081472725735,2.01147103819107
2027,2.627096159760097,0.8978628281645324,4.8534460255888,2.953949220911498
2028,3.336782570279636,0.8866181905468035,4.2758945974573574,3.444989649410456
2029,3.7923050187542433,0.8815635551196884,3.686243663717684,3.690021096669266
2030,4.106021222111462,0.8783434538584459,3.2730315887511177,3.8023865910838803
2031,4.195978214876835,0.8754031870116212,2.8939211001577054,3.8375475030793487
2032,4.213541600940348,0.8736920174877761,2.5927167292621105,3.8442695387539936
2033,4.220219959709044,0.8724960640758441,2.4544670375044535,3.8363893310495367
2034,4.228973491774576,0.8712172087032558,2.391085407407977,3.8196761290254377
2035,4.234668794506574,0.8705238786551375,2.3662751852059665,3.7962091848078208
2036,4.225869214307699,0.8702477907716906,2.3518643915103565,3.7675649610149025
2037,4.185181011476181,0.8710885206446239,2.323863307003899,3.7395071975136207
2038,4.135100378851053,0.8727484623023782,2.2977609319230075,3.7132895454413375
2039,4.090462564298724,0.8746457042695002,2.2831228244194754,3.6900952066488886
2040,4.049040073786761,0.877340474616854,2.2762400740476334,3.672186523395541
2041,4.038672581541144,0.8804567154220091,2.2995102114341557,3.656491854221398
2042,4.025259658095763,0.8838426526732585,2.3158973308353503,3.6420921938293622
2043,4.001274525882771,0.8874693530640819,2.3109062179520357,3.6290361935188136
2044,3.9718483133370044,0.8914204201351308,2.305523896667584,3.619411316054187
2045,3.944579764238022,0.895498717370707,2.3027659486361984,3.6114392967949485
2046,3.928002328382525,0.8997666588309969,2.317448660065213,3.607053489828604
2047,3.9116378649712904,0.9039451813800762,2.3289135668830845,3.6035775194831983
2048,3.900818303196023,0.9078867185286679,2.3397812788805554,3.601972137946781
2049,3.882716226453553,0.9119922519575824,2.3476701052687616,3.6017041533226193
2050,3.868222159023804,0.9159623428859527,2.3560130084641893,3.6016797021933
