,pr,epi,rGDP,CPI,ltir
2026,2.771100022168151,136.3671152513536,21763.893511578757,3.8586597690045776,3.091057971309845
2027,3.376357739346486,147.72565467827738,22128.63789039945,4.183940306557105,3.455069440466331
2028,3.630714557865252,151.72074861304048,22224.960022961444,3.934948238631808,3.6144503245491157
2029,3.8010179335141596,153.78795885402502,22246.025328979806,3.7578348091006375,3.7226165254050945
2030,3.893633951145485,154.59147596242173,22208.69117767873,3.659641995510228,3.776290446218774
2031,3.9376132806890753,154.6623305810073,22145.092181587177,3.6068432902860237,3.8060678388705083
2032,3.961155662544694,154.4906431399452,22070.54278859686,3.608649158303799,3.820110103309921
2033,3.9737227067357153,153.86433577430796,21984.65354404294,3.597752745949696,3.8266876962610694
2034,3.987079783102678,153.48790310303804,21901.16173474997,3.604480371552293,3.834228526682376
2035,3.996978858732982,152.94091504748334,21809.892575665715,3.617951424065971,3.8407412901945923
2036,4.003274313808292,152.45188072465314,21719.971590716577,3.622054265050057,3.8463121598721495
2037,3.9998898261805684,151.7610269240219,21624.737551685852,3.6403740247603738,3.8439800889327684
2038,4.013032405533745,150.99162346490624,21540.83800097724,3.608607217360154,3.850440759422069
2039,4.011706315467831,150.5194740130137,21472.28716074409,3.5994980934946796,3.850057223871536
2040,3.9963614826114813,149.93063367494182,21396.403826372738,3.6151470657310667,3.8410999594331354
2041,3.9805539406166535,149.40992524648,21322.27940004306,3.6232018638760217,3.8323458535311175
2042,3.9810825874387694,149.15995329198108,21260.871285104768,3.607416573832784,3.8322049084779546
2043,3.9833740356776097,148.99605881181873,21204.82324475755,3.6004654056997505,3.833918793235525
2044,3.9829160963587817,148.61702344528015,21134.18728426767,3.5861826793350056,3.8336974548638
2045,4.004552665861598,148.4017823714336,21059.281891663268,3.602137486745244,3.8441854114397387
2046,3.999468737127256,148.00506414237634,20966.10844030854,3.642452265527053,3.842991246556457
2047,3.980018543927592,147.16404106271392,20854.81568039179,3.7034527425869928,3.8330456932752894
2048,3.998810922881628,146.2935449036081,20769.311243158187,3.683652759693487,3.841006233082887
2049,4.0000337321483235,145.61149318471115,20690.947179134,3.664459079075998,3.8433794710675326
2050,3.9922906723456495,144.91127035899373,20626.73272399234,3.659698829614869,3.8387249132078227
