,pr,epi,rGDP,CPI,ltir
2026,2.771100022168151,136.38500825031335,21766.32977339106,3.858710373347992,3.091057971309845
2027,3.376357739346486,147.74877080230897,22131.038284063154,4.183524444950507,3.455069440466331
2028,3.630714557865252,151.73996731309697,22226.1322325383,3.9360223143306605,3.6144503245491157
2029,3.8010179335141596,153.8001799003413,22247.527858954872,3.758601026809225,3.7226165254050945
2030,3.893633951145485,154.6002716920521,22210.288386918553,3.6590910697785692,3.776290446218774
2031,3.782221349155262,155.0334584777128,22074.824586020124,3.556551424221952,3.6731149103274174
2032,3.3790380454144144,154.34006091980595,21913.042369314917,3.304908627097668,3.7317906228907622
2033,3.3844252333050817,152.69314612148054,21867.939826198086,3.352971400820683,3.8141075399347755
2034,3.772448583265947,151.13175305461624,21856.269909827184,3.7215594507034466,3.8777074924416532
2035,3.9343340194461778,150.12929763592462,21772.186930504427,3.830516190472984,3.9112224713393067
2036,3.970582119823306,150.06898652735072,21678.828419481924,3.7931371789256367,3.9348433559895506
2037,3.998459016682735,150.2582787342147,21590.940286703248,3.7717039784308755,3.949055627091185
2038,4.057076900162651,150.33151460472675,21509.50995474388,3.7355511632448586,3.9690886924283557
2039,4.097210489700314,150.60578183332763,21440.14789609912,3.7355815771906635,3.978745618894882
2040,4.110745656958405,150.70182537200535,21363.258737572378,3.740068685623187,3.9772197423577875
2041,4.098549321971939,150.85975063607984,21301.73697594807,3.704797582736648,3.974891493999715
2042,4.097003011900134,151.2795716950807,21248.289970261394,3.6481860316498618,3.9814385477182195
2043,4.100466645083127,151.76079808984986,21199.438029057124,3.6372279412718025,3.989907605682119
2044,4.105373243003374,152.00557386780878,21138.059944342203,3.6108801619209125,3.9961526560127867
2045,4.133840922029964,152.3844968359292,21078.69766300052,3.6150558994306383,4.01248818586906
2046,4.137111001493405,152.56676198599098,21004.785364112973,3.645215238835616,4.016388727997954
2047,4.126107084481639,152.37087471964165,20926.026036594736,3.688705480585955,4.010681899425344
2048,4.154453491946722,152.17899860071265,20858.725488789452,3.6672729264720516,4.021998001919862
2049,4.166353817673836,152.15622599208194,20803.431960401336,3.663410633374399,4.026727649931058
2050,4.170733806176674,152.10349664506734,20765.763042501192,3.637219831907502,4.023319246379668
